,headlines,text
26,US tests unarmed intercontinental ballistic missile,"The US Air Force on Wednesday successfully launched an unarmed intercontinental ballistic missile from California, the fourth such test this year. The test will show the readiness and effectiveness of the weapon system, officials said. The launch comes amid concerns over North Korea which recently tested two intercontinental ballistic missiles which it claims has the range to reach the US. "
27,German hiker found in Swiss Alps 30 yrs after disappearance,"The remains of a German hiker, who disappeared while climbing in the Swiss Alps 30 years ago, have been found embedded in a glacier, police officials said. The remains were found by two people climbing the Lagginhorn mountain, they added. Recently, bodies of a Swiss couple who went missing 75 years ago were found perfectly preserved in the Alps."
28,Veteran actor Dilip Kumar hospitalised in Mumbai,"Veteran actor Dilip Kumar has been admitted to Lilavati Hospital in Mumbai, following kidney complications and dehydration. The doctors treating the 94-year-old actor have said that he is stable and currently recuperating in the general ward while adding, ""There is no cause for concern."" The veteran actor had also been hospitalised twice last year due to medical reasons."
29,Mumbai has 2 out of 12 unique mangrove forests in India ,"The Mangrove Society of India has listed Mumbai's two mangrove wetlands? Airoli and Vikhroli, among twelve unique mangrove forests in India. The twelve locations were selected to help conserve different mangrove species, and establish them as international tourism destinations, officials said. ""Mangrove forests can sequester carbon 10 times more than tropical forests,"" they added."
30,J&K cops ask Pak High Commission to claim LeT leader's body,"Jammu and Kashmir Police have approached the Pakistan High Commission asking them to claim the body of Lashkar-e-Taiba commander Abu Dujana, who was killed by security forces on Tuesday. Notably, this is the first time the authorities have approached the High Commission asking them to claim the body of any Pakistani national killed in an anti-militancy operation in the state."
31,Amarnath Yatra attack mastermind to be Kashmir LeT chief,"Abu Ismail, mastermind of the Amarnath Yatra attack, will reportedly replace Abu Dujana as the Kashmir division chief of Lashkar-e-Taiba (LeT). Dujana was killed by the security forces on Tuesday after a seven-hour gunfight in south Kashmir's Pulwama district. Notably, eight pilgrims were killed and 18 were injured in the Amarnath Yatra attack last month. "
32,US Prez Donald Trump called White House a real dump: Report,"Explaining his frequent visits to golf clubs, US President Donald Trump told his New Jersey golf club members that he spends so much time away from Washington DC because the White House is a 'real dump', according to reports. Notably, the White House is the most expensive house in the US and is worth almost $400 million. "
33,Email prankster fooled fired Trump media chief thrice,"A self-styled email prankster, known as @SINON_REBORN on Twitter, has fooled recently-fired White House Communications Director Anthony Scaramucci thrice. The prankster fooled Scaramucci by posing as recently-fired Chief of Staff Reince Priebus, as a Russian envoy and finally as one of his friends. The prankster said he targeted Scaramucci because he had used mental health issues as a ""put down""."
34,UK-based doctor charged with 118 sexual offences,"A UK-based doctor, Manish Shah, has been charged with 118 sexual offences, the Metropolitan Police said on Wednesday. Shah has been accused of 65 counts of assault by penetration and 52 allegations of sexual assault, police officials added. He has also been charged with one count of sexual assault on a child under 13."
35,Trump campaign was dysfunctional for any collusion: Kushner,"US President Donald Trump's campaign could not have colluded with Russia because the team was too dysfunctional and disorganised to coordinate with a foreign government, the President's son-in-law and senior adviser Jared Kushner has claimed. Notably, Kushner had acknowledged four meetings with Russians during and after Trump's presidential bid and insisted that he had ""nothing to hide"". "
36,Imran Khan accused of harassing women party leaders,"A woman lawmaker of Pakistan Tehreek-e-Insaf (PTI) party, Ayesha Gulalai, has accused party leader Imran Khan of harassing women leaders in the party and sending them obscene text messages. ""My integrity matters to me the most and I cannot compromise when it comes to my honour and dignity,"" Gulalai said announcing her resignation from the party. "
37,JK Rowling apologises for tweets against Donald Trump,Harry Potter author JK Rowling has apologised for a series of tweets in which she falsely accused US President Donald Trump of refusing to shake the hand of a child in a wheelchair during an event last week. Rowling was slammed for not removing the tweets from her social media account after her comments were proved to be incorrect. 
38,Central Delhi air has considerable PM1 pollutant: Study,"Substantial presence of PM1, reportedly the most dangerous particulate matter, has been found in areas around Delhi's Lodhi Road, a study by System of Air Quality and Weather Forecasting And Research said. Its presence in the Central Delhi area may be attributed to the huge flow of vehicles since the particulate matter is a product of vehicular pollution, reports said. "
39,Congress workers booked for violence at Ghaziabad Haj House,The Ghaziabad Police has booked 14 people including 3 Congress workers for resorting to violence during protests in front of the Ala Hazrat Haj House on Monday. Nearly 500 protesters had pelted stones at the police during the protest demanding that the facility be opened to pilgrims immediately. The facility has remained sealed since its inauguration last year.
40,Donald Trump ready for war with North Korea: US Senator,"Republican Senator Lindsey Graham has said that US President Donald Trump has told him they would rather go to war to destroy North Korea than allow it to develop nuclear-armed missiles. Adding that he prefers a diplomatic approach to solve the North Korean threat, Graham claimed, ""There is a military option. To destroy North Korea's programme and North Korea itself."""
41,Sunil Pal accuses director Bazmee of non-payment of dues,"Comedian Sunil Pal, in a Facebook video, has accused filmmaker Anees Bazmee and his friend Mayur Barot of not paying Sunil his fees for a stage show. He said he had been invited by them to perform at a family function eight months ago. Sunil added that he is planning to take legal action against them."
42,Rakshabandhan compulsory for employees in Daman and Diu,"The Administration of Union Territory Daman and Diu has issued a circular making it compulsory for all employees to celebrate Rakshabandhan by asking women employees to tie rakhis on the wrist of male colleagues. ""It has been decided to celebrate the festival of Rakshabandhan on August 7. In this connection, all offices/departments shall remain open,"" the circular read."
43,N Korea travel ban to take effect from September 1: US,"The United States on Wednesday announced that the ban prohibiting its citizens from travelling to North Korea will take effect from September 1. ""All United States passports are declared invalid for travel to, in, or through the DPRK unless specially validated for such travel,"" the restriction read. The ban will remain in effect for one year."
44,In govt interest to protect jobs at Air India: FM Jaitley,"Finance Minister Arun Jaitley has said that a ""proper decision"" would be taken on Air India's future and it would be in government's interest to protect jobs at the airline. Noting that the airline has debt of over ?50,000 crore, he said it is ""not small"" and ""now we have to decide what has to be done with Air India""."
45,"Firm loses ?1,690cr in value as boss fired over 'misconduct'","UK roadside repair firm AA on Tuesday lost over  200 million (nearly ?1,690 crore) or nearly a fifth of its value. This came after shares fell as much as 18% during the day after it fired its Executive Chairman Bob Mackenzie with immediate effect for 'gross misconduct'. However, his son said he resigned over an 'extremely distressing mental health issue'. "
46,"Ramdev, Sonakshi to judge bhajan reality show: Reports","According to reports, yoga guru Ramdev and actress Sonakshi Sinha will be part of the judging panel on upcoming reality show 'Om Shanti Om'. The show will be aired on Life OK, which is set to re-brand itself as Star Bharat. The judging panel will also include singers Shekhar Ravjiani and Kanika Kapoor. "
47,Ask psychiatrist why Censors fear female sexuality: Shah,"Actor Naseeruddin Shah, while talking about the controversy around 'Lipstick Under My Burkha', said that one needs to ask a psychiatrist why the Censor Board is afraid of female sexuality on screen. He added, ""It's very frightening to see that the Censor Board can do whatever it wants and practise its biases openly and ban films that it doesn't like."""
48,Sleeping on film sets is a gifted moment in script: Big B,"Amitabh Bachchan has said that the opportunity of catching up on sleep on a film's set for actors is a rare and gifted moment in the script. While sharing a picture of him sleeping for a film scene, Bachchan added, ""My sleep was genuine, they actually had to come and wake me up to tell me that it was over."""
49,Punjab cop thrashes vendor who refused to pay bribe,"A video of a policeman thrashing a vendor outside a passport office in Punjab's Ludhiana has gone viral. The victim, who sells file covers at a makeshift stall, was beaten by the cop after he reportedly refused to pay ?100 bribe. After the video went viral, Ludhiana Police Commissioner RN Dhoke initiated a departmental inquiry against the cop. "
50,Mumbai court convicts 15 Somali pirates in 2011 case,"A Mumbai court has convicted 15 Somali pirates to 7 years of imprisonment in a 2011 case. The pirates were found guilty of attempt to murder and kidnapping for taking 22 people hostage on board a commercial ship from Thailand. This is one of the four cases registered against 120 Somali pirates, for holding 91 people from different countries hostage."
51,"Teacher stripped girls for poor marks, school denies charges","A teacher of a private school in Haridwar district of Uttarakhand has been accused of stripping two girls in front of the class for performing poorly in a test held for English subject. While the parents of the girls lodged a complaint against the teacher and the school management, the allegation has been refuted by the school authorities. "
52,Successive governments short-changed Air India: TMC leader,"TMC leader Dinesh Trivedi has said that successive governments have ""short changed"" Air India by treating it like their private properties. Trivedi urged the government to reconsider its decision to privatise it. ""As the government operates BSNL and MTNL in communications and Doordarshan and All India Radio in broadcasting, it should have a national carrier as well,"" he added."
53,British American Tobacco under probe over bribery claims,"UK tobacco company British American Tobacco (BAT) is being investigated by the Serious Fraud Office (SFO) over allegations about involvement in bribery and corruption in Africa. BAT has denied allegations of a whistleblower who handed over multiple documents to SFO. However, BAT has said it is cooperating with UK authorities as campaigners are now urging US government to act."
54,"Not suffering from depression, it's just a big term: Kapil","Comedian and television show host Kapil Sharma has said that he is not suffering from depression, while adding, ""It's just a big term for me."" He added that apart from low blood pressure, he isn't facing any health issues and is feeling perfectly fine now. Kapil also clarified he has no stress and pressure regarding The Kapil Sharma Show's TRP."
55,Release of Shraddha Kapoor's 'Haseena Parkar' postponed,"The release of the Shraddha Kapoor starrer 'Haseena Parkar', which was scheduled for August 18, has been postponed. Director Apoorva Lakhia said, ""We collectively decided to postpone the film so that it can get enough screens and a worthy run at the box-office."" Earlier, the film's release was shifted to August 18 to reportedly avoid a clash with 'Jagga Jasoos'."
56,Substance abuse is like a bad marriage: Prateik Babbar,"Actor Prateik Babbar, while speaking about dealing with drug addiction, said substance abuse is like a bad marriage. ""[E]ven after you quit, it haunts you for a while till people start noticing the turnaround,"" he added. Prateik further said, ""Addiction is not a moral failing, it doesn't make you a bad person even if you have made a poor choice""."
57,CBFC member made sexist remark: Babumoshai Bandookbaaz maker,"Producer of 'Babumoshai Bandookbaaz' Kiran Shroff, while talking about sexist comments she faced, has said that a Central Board of Film Certification (CBFC) member asked her how she could make a film like this being a woman. A male member added, ""But she is not a woman. Look at what she is wearing."" Kiran said that such thoughts were regressive."
58,Can't believe a normal hug with Salman was trending: Sana,"Actress Sana Khan, while speaking about Salman Khan hugging her on the red carpet at an awards show, said she can't believe that a normal hug was trending. ""People just blew it out of proportion because [Salman] had closed fists, and some dumb people even called it an awkward hug,"" she added while slamming those who trolled her."
59,"Used to get scared of online rape, acid attack threats: Dia","Dia Mirza, while talking about being trolled on social media, said she used to get frightened by the rape and acid attack threats she received online for expressing her opinion. Dia added, ""Elements...who are faceless and nameless...who harass people, (don't) need to be taken seriously...we need to be like ducks and let (trolling) be like water sliding off our backs."""
60,"Kapil and I don't need mediator to resolve feud, says Sunil","Comedian Sunil Grover has said that there is no need for a mediator to resolve the feud between him and Kapil Sharma. ""I know [Kapil] very well. Why do I need someone else to sort things between us?"" he added. Sunil further said, ""Anyway, the best part is that the comedy didn't stop and it's continuing from both ends."""
61,"Bible, Quran removed from Abdul Kalam's Tamil Nadu memorial","Authorities have removed the copies of the Bible and Quran placed near APJ Abdul Kalam's memorial in Rameswaram in Tamil Nadu, following a complaint. Kalam's relatives had placed the books alongside the sculpted Bhagavad Gita placed near the statue before its inauguration. Later, a Hindu nationalist party filed a complaint saying keeping them without permission is wrong."
62,Mob assaults man caught with woman in compromising position,"A 25-year-old man was on Wednesday assaulted by a mob which allegedly found him in a compromising position with a woman at a government-run centre in Bokaro, Jharkhand. The victim, found unconscious when police rescued him from the mob, has suffered multiple injuries on his head, neck, legs and back. The man is reportedly battling for life in a hospital."
63,Are you a virgin? Bihar medical institute asks its employees,"The Indira Gandhi Institute of Medical Sciences (IGIMS) in Bihar's Patna has asked its employees to declare their virginity and number of wives/husbands in a marital declaration form. Further, the form spelt bachelor as 'bechelor'. ""This is not a new form and has been in practice since 1984 when IGIMS was established,"" Deputy Medical Superintendent Dr Manish Mandal said."
64,Mumbai's Juhu beach to be redeveloped,"Brihanmumbai Municipal Corporation is planning to redevelop eight entry points of Mumbai's Juhu beach in the second phase by August-end, authorities said. As per the plan, each entry point will have five metre high walls, and steps with railings among others. While residents welcomed the move, an activist said that any beautification shouldn't affect ""the natural feel of the beach"".n  "
65,Kriti replies to Hate Story actress Bhairavi's remark on her,"Kriti Sanon, when asked about 'Hate Story' actress Bhairavi Goswami's tweet saying Kriti is a ""deranged actress"" with ""no headlight"" and ""no bumper"", enquired who Bhairavi is. She further said,  ""I'm just happy for her. She got a lot of publicity. Now you guys know her name also"". Bhargavi had also commented that even college students look better than Kriti."
66,Tom Hiddleston to star in play on Shakespeare's 'Hamlet',"Actor Tom Hiddleston will star in a play on William Shakespeare's 'Hamlet', which will be directed by Kenneth Branagh. The production aims to raise money for the Royal Academy of Dramatic Art, the drama school attended by Hiddleston. Tickets will be available through a lottery and winners will be able to collect them only on the day of the performance."
67,Egypt's Islamic authority sets up fatwa kiosk at metro,"Egypt's highest Islamic authority Al-Azhar Al-Sharif has opened a fatwa kiosk at Cairo metro to offer commuters religious advice in an effort to counter extremism. A sheikh said, ""We usually talk about the issues of daily life, and what religion says about such things. The topics we mostly discuss are marriage, divorce and inheritance."" "
68,What gifts did PM Narendra Modi take home this year?,"PM Narendra Modi took a wristwatch by British company Sekonda and a decorative porcelain from the external affairs ministry's repository this year. All gifts received by ministers and officials have to be deposited at the repository, called toshakhana. However, a recipient can take home gifts valued under ?5,000."
69,Over 20-yr-old museum may be shifted to Mumbai zoo,"The Brihanmumbai Electric Supply and Transport (BEST) is planning to shift its 20-year-old museum from Wadala to Byculla zoo in Mumbai, authorities said. ""The museum is far away, and people have often complained they don?t visit as the travel is a pain,"" said an official. The authorities expect that the shift will bring in more visitors and revenues."
70,Priyanka Chopra shares picture with singer Bryan Adams ,"Priyanka Chopra has shared a picture with singer Bryan Adams on Instagram which she captioned, ""Was so good to see you again."" Priyanka and Bryan came together to support the organisation 'Hear The World Foundation', which works for people with hearing disabilities. Adams is known for songs like 'Summer of 69' and '(Everything I Do) I Do It for You'."
71,I-T dept recovers ?5 cr from K'taka Min hosting Gujarat MLAs,"The Income Tax Department recovered ?5 crore in cash from Karnataka minister DK Shivakumar's Delhi residence after it raided 39 places linked to the in-charge of hospitality for 44 Gujarat Congress MLAs in Bengaluru. Meanwhile, Karnataka Chief Minister Siddaramaiah said, ""In order to meet political conspiracies, I-T department has been used. This is not fair in politics."""
72,Swara talks about unequal pay for actresses in Bollywood,"Actress Swara Bhasker, while addressing pay disparity in Bollywood, has said that if as an actress, she works for as many days as an actor, then she should also expect an equal amount of pay. Swara added, ""If you see in Hollywood, women are taking up this whole question of equality... so why can't Bollywood take its cue from them?"""
73,'Victoria & Abdul' costumes to be displayed at Queen's home,"Costumes worn by actors Judi Dench and AIi Fazal during the shooting of the film 'Victoria & Abdul' will be displayed at Queen Victoria's home, the Osborne House in the UK. They will go on display for public Friday onwards. Most of the scenes from the film were also shot in the same house."
74,First met SRK with a drunk girl hanging on to him: Imtiaz,"Filmmaker Imtiaz Ali has revealed that when he first met Shah Rukh Khan, a drunk girl was hanging on to him. ""It was in London for a film festival...He was dealing with her so gracefully without demeaning her,"" he added. Imtiaz further said, ""Gauri (SRK's wife) was also with him and everybody was trying to deal with this crazy fan""."
75,UP government makes registration of marriages compulsory,"Yogi Adityanath government has approved making the registration of marriages compulsory for all religions and castes in Uttar Pradesh. The approval comes in wake of a 2006 Supreme Court's verdict, which asked Centre and state governments to draft rules for making marriage registration compulsory. Reportedly, ?10 fine will be levied for delay up to a year and ?50 beyond that."
76,"NGT directs UP, Delhi to clean debris from Yamuna floodplain","The National Green Tribunal (NGT) on Tuesday directed the irrigation departments of Delhi and Uttar Pradesh to remove debris from the Yamuna floodplains within three weeks. The NGT added that any ?inaction on part of authorities cannot be tolerated?. Notably, the Tribunal has reconstituted the Principal Committee responsible for overseeing the execution of the Yamuna cleaning project."
77,Stop doping or the sport dies: Usain Bolt to fellow athletes,"Speaking ahead of his final appearance on the field at the upcoming world championships, eight-time Olympic gold medallist Usain Bolt warned his fellow athletes that they must stop doping otherwise track and field will die. On being asked about how he would feel in the 100m final at the upcoming world championships, Bolt said, ""Unbeatable and unstoppable""."
78,Fire breaks out in Sheila Dixit's house in Delhi,"A minor fire broke out in the basement of former Delhi Chief Minister Sheila Dixit's house in Delhi's Nizamuddin on Wednesday morning. ""We got a call at around 9:30 am about a fire. We sent two fire tenders to the spot. The electricity metre board had caught fire,"" said a fire official. No damages have been reported in the incident."
79,Woman bites off her alleged rapist's tongue,A woman in Kerala's Kochi area bit off the tongue of a neighbour on Monday night when he allegedly tried to rape her. The woman filed a police complaint against her 30-year-old neighbour and produced a two centimetre strip of the tongue at the police station. The accused allegedly had similar charges against him earlier.
80,15-yr-old Haryana girl pregnant after being raped by cousins,"A 15-year-old Haryana girl has been found to be seven-months pregnant after two of her cousins allegedly raped her several times. The incident came to light after she complained of stomach ache and was taken to the hospital on July 29. The police have arrested one of the accused, who is a juvenile, while the other is on the run."
81,Koena files sexual harassment case after getting lewd calls,"Actress Koena Mitra has filed a sexual harassment complaint after receiving lewd phone calls from a stranger. The man reportedly kept calling her, offered her money for a night out and verbally abused her. ""From July 24, I started getting calls from random numbers,"" said Koena. She decided to approach the police when the calls didn't stop coming."
82,76% Bihar cabinet ministers face criminal charges,"As many as 22 of 29, or 76% of ministers in the new Bihar cabinet face criminal charges against them, higher than the 19 ministers (69%) in the previous Grand Alliance government. Further, 21 ministers (72%) are crorepatis, a little less than 22 (79%) in the previous government. Also, a minister in the new cabinet earns an average ?2.46 crore."
83,DU college to start child care facilities for staff kids,"Lakshmibai College will be the first college in the University of Delhi to start a cr che facility for the children of its teaching and non-teaching staff in August. College principal said the teachers would be able to focus more on their work without worrying about the children. The cr che will consist of two rooms, a pantry, and a play area."
84,Vehicles consume 1.5 times more fuel on crowded roads: Study,"An ongoing study has found that vehicles traveling on ""average"", crowded roads consumed nearly one-and-a-half times more fuel per kilometre compared to ?good?, fuel-efficient roads in Delhi and its suburbs. The motorists hence end up spending more, said a member associated with the study. The cumulative wastage of fuel would allegedly be an extra burden on India?s oil imports bill."
85,India to play record 23 home matches in 4 months this year,"Team India will play a record 23 home matches this year from September to December, the BCCI announced on Tuesday. India will host Australia, New Zealand and Sri Lanka during the season, with the team playing a total of three Tests, 11 ODIs and nine T20Is at home. Thiruvananthapuram and Barsapara in Assam may be added as Test venues."
86,No info on hiring class 12 boy on ?12 lakh per month: Google,"Google has clarified that it has no ""information on [its] records with respect to Harshit Sharma's candidacy"", after a news about the tech giant hiring the class 12 Chandigarh boy went viral. It was reported that Harshit would get ?4 lakh monthly as trainee graphic designer, and ?12 lakh monthly after the training completes in a month."
87,Female teacher suspended for getting a massage from student,"A female teacher in Odisha was suspended on Tuesday for allegedly getting a massage by a schoolgirl on school premises. The teacher, Bharati Meher, said the incident took place around two years ago when she told a class eight student she had a headache and the latter offered to massage her head. A video of the incident went viral online."
88,EasyJet passengers stranded in Greece due to mating turtles,"Passengers were stranded on Greek island Zakynthos for days after their easyJet plane developed technical difficulties on Sunday and a replacement plane couldn't fly in due to mating turtles. A flyer said there was no easyJet representative and passengers were forced to wait through ""hours of nothingness."" The airport has a night curfew to protect vulnerable loggerhead turtles breeding nearby. "
89,Picture of Sushant in spacesuit at NASA shared online,"A picture of Sushant Singh Rajput in a spacesuit at the National Aeronautics and Space Administration (NASA) has been shared on Twitter by producer Viki Rajani. The actor has started undergoing training for his role as an astronaut in the upcoming film 'Chanda Mama Door Ke'. Directed by Sanjay Puran Singh Chauhan, the film will release on January 26, 2018."
90,Sri Lankan held for entering Delhi Airport on fake ticket,"A Sri Lankan national was arrested for allegedly using a fake ticket to enter a terminal at the Delhi Airport on Monday, officials said. CISF personnel had found the accused, identified as Nuwan U Fernando, roaming suspiciously inside the terminal-III building. Fernando told officials he had used a cancelled ticket to enter the airport terminal to see off his mother. "
91,20 stuck in Gurugram mall lift for 90 mins rescued,"Gurugram police on Saturday midnight rescued twenty people who were trapped in a mall lift for nearly 90 minutes. Police said that two out of six women fell unconscious in the lift due to lack of oxygen. Some trapped people had reportedly contacted the elevator control room, but the police were called when the staff couldn't fix the technical glitch."
92,"SpiceJet passengers, crew face-off over delay","Passengers and cabin crew got into an argument on Tuesday after a Delhi-Bengaluru SpiceJet flight was repeatedly delayed. Passengers, including children, reportedly sat inside the aircraft for hours while no reason was given for the delay. The flight was scheduled to depart at 8:55 pm, while passengers were reportedly accommodated on a different aircraft that departed at 12:25 am. "
93,Rape-accused kills self after order to drink victim's urine,"A 25-year-old man from Jammu and Kashmir accused of rape committed suicide after the Panchayat directed him to drink urine of the victim. Police said he also recorded an audio clip before killing himself, wherein he claimed of never raping the girl. The Panchayat's initial direction was to compensate the girl's family with money, which the man refused, police added."
